"-- Please select --","-- Por favor seleccione --"
"WARNING:","ADVERTENCIA:"
"Currency Update Warnings","Advertencias de la actualización de moneda"
"Country Api","API país"
"Region Api","API provincias"
"Currency Setup","Configuración de la moneda"
"Continue &raquo;","Continuar &raquo;"
"Directory","Directorio"
"Invalid country code: %s","El código del país es inválido: %s"
"Invalid Import Service Specified","El servicio de importación especificado es inválido"
"Remove space from currency sign","Eliminar el espacio en el signo de moneda"
"Error Email Recipient","Error en el destinatario del correo electrónico"
"Error Email Sender","Error en el remitente del correo electrónico"
"Error Email Template","Error en la plantilla del correo electrónico"
"FATAL ERROR:","ERROR GRAVE:"
"State/Province","Estado/Provincia"
"Frequency","Frecuencia"
"Enabled","Habilitado"
"Start Time","Hora de inicio"
"Country and Format Type combination should be unique","La combinación del país y el tipo de formato debe ser única"
"Invalid target currency","La moneda de destino es inválida"
"List of countries","Lista de paises"
"List of regions in specified country","Lista de provincias especificadas por paises"
"Currency","Moneda"
"Default display currency","Moneda mostrada por defecto"
"Base currency","Moneda por defecto"
"Currency will be used for all online payment transactions","Moneda que se utilizará para todas las operaciones de pago en línea"
"Installed Currencies","Monedas instaladas"
"Allowed currencies","Monedas permitidas"
"Unable to initialize import model","No es posible inicializar el modelo de importación"
"Cannot retrieve rate from %s","No se puede recuperar la tasa desde %s"
"Currency Options","Opciones de monedas"
"Country","País"
"Region","Provincias"
"Scheduled Import Settings","Se han programado las configuraciones de importación"
"Invalid rates received","Se recibieron tasas inválidas"
"Select Your Currency","Seleccione su moneda"
"Service","Servicio"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Your current currency is: %s","Su moneda actual es: %s"
"Undefined rate from ""%s-%s""","Tasa indefinida desde ""%s-%s"""
"Connection timeout in seconds","Tiempo de conexión en segundos"
"Webservicex","Webservicex"
