"* Select shipping method","* Seleccione el método de envío"
"Add","Añadir"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Google API","API de Google"
"Virtual item to reflect discount total","Artículo virtual para reflejar el descuento total"
"Auto-generated from GoogleCheckout Charge","Autogenerado desde el cargo de Googlecheckout"
"Google Authorization:","Autorización de Google:"
"Expiration: %s","Caducidad: %s"
"Google Checkout Shipping - Merchant Calculated","Caja de envío de Google  - calculado el comercio"
"Google Checkout Shipping - Carrier Calculated","Caja de envío de Google - calculado el transporte"
"Google Checkout Shipping - Flat Rate","Caja de envío de Google - tarifa plana"
"Google Checkout","Caja de Google"
"Google Checkout: %s","Caja de Google: %s"
"Google order status change:","Cambiar el estado del Pedido de Google:"
"Amount: %s","Cantidad: %s"
"Google Charge:","Cargo de Google:"
"Carrier Calculated Methods","Carrier Calculated Methods"
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"Merchant Key","Clave del Comercio"
"Fulfillment: %s -> %s","Cumplimiento: %s -> %s"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Debug","Depurar"
"Cart Discount","Descuento del carrito"
"IP Address: %s","Dirección IP: %s"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Buyer account age: %s days","Edad de la cuenta del comprador: %s días"
"Eligible for protection: %s","Elegible para protección: %s"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Sandbox","Entorno protegido"
"AVS Status: %s","Estado de AVS: %s"
"CID Status: %s","Estado de CID: %s"
"Checkout Image Style","Estilo de la imagen de la Caja"
"Invoice auto-created: %s","Factura auto-creada: %s"
"Financial: %s -> %s","Financiero: %s -> %s"
"Free Shipping","Free Shipping"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Enable","Habilitar"
"Merchant ID","ID del Comercio"
"Google Buyer Id: %s","ID del comprador en Google: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Google Risk Information:","Información de riesgo de Google:"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Medium - %s","Medium - %s"
"Method","Method"
"Google Order Number: %s","Número de Pedido de Google: %s"
"No","No"
"New order status","Nuevo estado del Pedido"
"Hide Cart Contents During Checkout","Ocultar los contenidos del carrito durante la compra"
"Optional, leave empty for home page.","Opcional, deje vacío para la página de inicio."
"Default price:","Precio por defecto:"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Google Refund:","Reemboloso de Google:"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","Total cargado: %s"
"Total Refunded: %s","Total reembolsado: %s"
"Transparent","Transparent"
"Location","Ubicación"
"Latest Charge: %s","Ultimo cargo: %s"
"Latest Refund: %s","Ultimo reembolso: %s"
"United Kingdom","United Kingdom"
"United States","United States"
"Continue Shopping URL","URL para continuar comprando"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
