"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Agregar una nueva calificación"
"Delete Rating","Borrar la calificación"
"Rating with the same title","Calificación con el mismo título"
"Edit Rating","Editar la calificación"
"Option Label","Etiqueta de la opción"
"Manage Ratings","Gestionar las calificaciones"
"Save Rating","Guardar calificación"
"ID","ID"
"Rating Information","Información de la calificación"
"Rating isn't Available","La calificación no está disponible"
"Rating Name","Nombre de la calificación"
"New Rating","Nueva calificación"
"Assigned Options","Opciones asignadas"
"Rating Options","Opciones de la calificación"
"Please select one of each ratings above","Por favor, seleccione una de las calificaciones de arriba"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título de calificación para una tienda, se utilizará el valor por defecto "
"Rating Title","Título de la calificación"
"Option Title","Título de la opción"
"Option Title:","Título de la opción:"
"Default Value","Valor por defecto"
"Rating Visibility","Visibilidad de la calificación"
"Visible In","Visible en"
